,Complaints,Violations,Gap
"103 WEST 127 STREET New York, NY 10027",6.0,1.0,5.0
"103 WEST 128 STREET New York, NY 10027",0.0,1.0,-1.0
"103 WEST 131 STREET New York, NY 10027",1.0,4.0,-3.0
"103 WEST 136 STREET New York, NY 10030",0.0,1.0,-1.0
"103 WEST 137 STREET New York, NY 10030",1.0,9.0,-8.0
"103 WEST 141 STREET New York, NY 10030",12.0,34.0,-22.0
"103 WEST 27 STREET New York, NY 10001",3.0,7.0,-4.0
"103 WEST 72 STREET New York, NY 10023",0.0,1.0,-1.0
"103 WEST 73 STREET New York, NY 10023",5.0,0.0,5.0
"103 WEST 77 STREET New York, NY 10024",16.0,1.0,15.0
"103 WEST 80 STREET New York, NY 10024",7.0,12.0,-5.0
"103 WEST 88 STREET New York, NY 10024",0.0,1.0,-1.0
"103 WEST 89 STREET New York, NY 10024",0.0,1.0,-1.0
"1031 3 AVENUE New York, NY 10065",8.0,1.0,7.0
"1031 LEXINGTON AVENUE New York, NY 10021",0.0,1.0,-1.0
"1032 LEXINGTON AVENUE New York, NY 10021",8.0,3.0,5.0
"1033 3 AVENUE New York, NY 10065",1.0,4.0,-3.0
"1033 5 AVENUE New York, NY 10028",0.0,2.0,-2.0
"1033 AVENUE OF THE AMERICAS New York, NY 10018",1.0,0.0,1.0
"1033 LEXINGTON AVENUE New York, NY 10021",0.0,1.0,-1.0
"1035 2 AVENUE New York, NY 10022",2.0,0.0,2.0
"1036 PARK AVENUE New York, NY 10028",0.0,1.0,-1.0
"104 2 AVENUE New York, NY 10003",14.0,7.0,7.0
"104 AUDUBON AVENUE New York, NY 10032",26.0,92.0,-66.0
"104 BAYARD STREET New York, NY 10013",2.0,2.0,0.0
"104 BOWERY New York, NY 10013",0.0,3.0,-3.0
"104 CHARLTON STREET New York, NY 10014",0.0,1.0,-1.0
"104 EAST 116 STREET New York, NY 10029",1.0,1.0,0.0
"104 EAST 7 STREET New York, NY 10009",0.0,1.0,-1.0
